"Namespace","Location","Name"
"CEiDsoPostOBJ::CEvtActPOSTOBJ","1402122a8","vftable"
"CEiDsoPostOBJ::CEvtIFPOSTOBJ","140212320","vftable"
"CEiDsoPostSAV::CEvtActPOSTSAV","140212348","vftable"
"CEiDsoPostSAV::CEvtIFPOSTSAV","1402123c0","vftable"
"CEiDsoPostPTC::CEvtActPOSTPTC","1402123e8","vftable"
"CEiDsoPostPTC::CEvtIFPOSTPTC","140212460","vftable"
"CEiEvtMdl::CEvtActEvtMdl","140212488","vftable"
"CEiEvtMdl::CEvtIFEvtMdl","140212510","vftable"
"CEiEvtPlist::CEvtActPlist","140212538","vftable"
"CEiEvtPlist::CEvtIFEvtPlist","1402125c0","vftable"
"CEiEvtPtc::CEvtActEvtPtc","1402125e8","vftable"
"CEiEvtPtc::CEvtIFEvtPtc","140212660","vftable"
"CEiEvtColor::CEvtColor","140212688","vftable"
"CEiEvtColor::CEvtIFEvtColor","140212700","vftable"
"CEiEvtSe::CEvtActEvtSe","140212728","vftable"
"CEiEvtSe::CEvtIFEvtSe","1402127a0","vftable"
"CMAPPRG","1402127e8","vftable"
"CEvtCB","140213500","vftable"
"CEvtHndCB_Ev8","140213528","vftable"
"CLoadFile","140213618","vftable"
"CFLASH","140213668","vftable"
"CFLASH::CLOAD_FLASH","140213648","vftable"
"CFLASH_KOMARU","1402136f8","vftable"
"CFLASH_CLEAR","140213778","vftable"
"CFLASH_GAMEOVER","1402137f8","vftable"
"CFLASH_TARGET","140213bd8","vftable"
"CFLASH_DANGER","140213cd8","vftable"
"CFLASH_HEART","140213db8","vftable"
"CMAPPRG_TENTACLE","1402140b8","vftable"
"CMAPPRG_TENTACLE::CLoad","140214038","vftable"
"CMAPPRG_TENTACLE::CLoadTex","140214050","vftable"
"CMAPPRG_TENTACLE::CTentacle::CIfCTentacle","140214068","vftable"
"CMAPPRG_TENTACLE::CIfCTentacle","140214090","vftable"
"CBOM","140214340","vftable"
"CReqChgPlyAct","140214440","vftable"
"CCamAlg","140214460","vftable"
"CMAPBTL_SUBPRG","140214478","vftable"
"mgame_bridge::CTrMKumaAlg","1402144e8","vftable"
"mgame_bridge::CSUB_BRIDGE","140214518","vftable"
"mgame_bridge::CSUB_BRIDGE::CCamAlg_Bridge","140214500","vftable"
"CGenerator","140214588","vftable"
"mgame_secretbase::CSBGenerator","140214598","vftable"
"mgame_secretbase::CSUB_SECRETBASE","1402145a8","vftable"
"mgame_prologue::CSUB_PROLOGUE","140214638","vftable"
"mgame_secretfactory::CSUB_SECRETFACTORY","1402146a8","vftable"
"mgame_secretfactory_b3::CSUB_SECRETFACTORY","140214738","vftable"
"CMpBs7::CPyAlg","1402147a8","vftable"
"CMpBs7::CSubPlyAlg","1402147c8","vftable"
"CMpBs7::CCamAlg_Boss07","1402147e8","vftable"
"CSUB_BOSS07","140214808","vftable"
"mgame_chp5sideview::CSUB_CHP5SIDEVIEW","140214878","vftable"
"CThread","140214fe8","vftable"
"CMAPPRG00_START","140215000","vftable"
"FLS_WORK_BASE","140231670","vftable"
"FLS_WORK","1402316a0","vftable"
"CEvtHndCB_SCR","1402316b8","vftable"
"CThread_MapLoad","140233b58","vftable"
"CThread_Datset","140234150","vftable"
"OmakeFl::CDialog::CResult","140239f48","vftable"
"OmakeFl::CFLASH_TAB","140239f68","vftable"
"OmakeFl::CGContent","140239fa8","vftable"
"OmakeFl::CGContent_MOVI","14023a008","vftable"
"OmakeFl::CGContent_CG","14023a058","vftable"
"OmakeFl::CGContent_BGM","14023a0a8","vftable"
"OmakeFl::CFLASH_CUR","14023a0f8","vftable"
"OmakeFl::CFLASH_BNV","14023a168","vftable"
"OmakeFl::CFLASH_IMAGE_BGM","14023a1c8","vftable"
"OmakeFl::CFLASH_IMAGE_CG","14023a2b8","vftable"
"OmakeFl::CFLASH_RC1","14023a318","vftable"
"OmakeFl::CFLASH_RC2","14023ab58","vftable"
"OmakeFl::CFLASH_RC3","14023ac38","vftable"
"OmakeFl::CFLASH_RC4","14023aca8","vftable"
"OmakeFl::CGContent_REC","14023ad18","vftable"
"OmakeFl::CFLASH_TOP","14023ad78","vftable"
"OmakeFl::CFLASH_TOP::CResCDialog","14023ad60","vftable"
"OmakeFl::CFLASH_MEDAL","14023b068","vftable"
"OmakeFl::CFLASH_SHADOW","14023b0c8","vftable"
"cMemMng","14023d2e8","vftable"
"SettingDlg","14023dc00","vftable"
"CThreadDX11","14023df50","vftable"
"CInit2Thread","14023df60","vftable"
"CCallback<class_CSteamAchievements\,struct_UserStatsReceived_t\,0>","14028ff50","vftable"
"CCallbackImpl<24>","14028ff30","vftable"
"CCallback<class_CSteamAchievements\,struct_UserStatsStored_t\,0>","14028ff90","vftable"
"CCallbackImpl<16>","14028ff70","vftable"
"CCallback<class_CSteamAchievements\,struct_UserAchievementStored_t\,0>","14028ffd0","vftable"
"CCallbackImpl<152>","14028ffb0","vftable"
"CriAllocator","140291350","vftable"
"CriMvEasyPlayer","140291360","vftable"
"CriMvSoundInterface","140291d38","vftable"
"CriManaSound","140291d98","vftable"
"CriManaSound","140291e40","vftable"
"CriManaSoundAtomVoice","140291e58","vftable"
"CriManaSoundAtomVoice","140291f38","vftable"
"CriManaSoundAtomVoice_Float32","140291f48","vftable"
"CriManaSoundAtomVoice_Float32","140292028","vftable"
"CriMvFileReaderInterface","140293338","vftable"
"CriManaFileReader","140293398","vftable"
"CriManaFileReader","1402933f8","vftable"
"CriMvSystemTimerInterface","140293458","vftable"
"CriManaSystemTimer","140293488","vftable"
"CriManaSystemTimer","1402934e0","vftable"
"CriMvEasyFileReaderMem","140293518","vftable"
"CriMvEasyFileReaderMem","140293578","vftable"
"std::bad_alloc","1402aa4e0","vftable"
"std::exception","1402affd8","vftable"
"std::bad_exception","1402b0050","vftable"
