Namespace,Location,Name,Type
AgString,005f4c7c,getCString,Function
AgString,005f4a0c,_copy,Function
AgString,005f4d4c,replace,Function
AgString,003862b0,operator=,Thunk Function
AgString,00387bf0,operator=,Thunk Function
AgString,00387c60,AgString,Thunk Function
AgString,0038a0b0,operator=,Thunk Function
AgString,0038aab0,getLength,Thunk Function
AgString,0038c710,AgString,Thunk Function
AgString,0038d390,~AgString,Thunk Function
AgString,0038ee70,operator+=,Thunk Function
AgString,0038ee80,find,Thunk Function
AgString,0038f260,AgString,Thunk Function
AgString,391210,getFirstIndexOf,Thunk Function
AgString,391270,AgString,Thunk Function
AgString,392450,getSubString,Thunk Function
AgString,003927a0,getCString,Thunk Function
AgString,003966e0,AgString,Thunk Function
AgString,0039b6d0,replace,Thunk Function
AgStringRef,005f5880,getSubString,Function
AgStringRef,005f555c,AgStringRef,Function
AgStringRef,005f55c0,AgStringRef,Function
AgStringRef,005f55dc,replace,Function
AgStringRef,005f55d4,getCString,Function
AgStringRef,005f5588,AgStringRef,Function
AgStringRef,005f55cc,getLength,Function
AgStringRef,0038c550,AgStringRef,Thunk Function
AgStringRef,0038dd90,AgStringRef,Thunk Function
AgStringRef,0038ea00,replace,Thunk Function
AgStringRef,0038eac0,getCString,Thunk Function
AgStringRef,0038fb90,AgStringRef,Thunk Function
AgStringRef,00397ee0,getLength,Thunk Function
AgThread,005f58b4,AgThread,Function
AgThread,005f58cc,~AgThread,Function
AgThread,005f58d4,sleep,Function
AgThread,005f58c8,~AgThread,Function
AgThread,005f58d0,join,Function
AgThread,389700,sleep,Thunk Function
AgThread,008810a0,typeinfo-name,Data Label
AgThread,009a9b60,vtable,Data Label
AgThread,009a9b80,typeinfo,Data Label
AgVector2,008810ac,Zero,Data Label
DR1,003cb028,hs_savedata_load_exec,Function
DR1,003a66e4,hs_camera_debug_pad_look_end,Function
DR1,0041e9fc,hs_backlog_input_update,Function
DR1,003eca18,hs_script_flash_Init,Function
DR1,003b69c4,hs_kotodama_start,Function
DR1,003c6114,hs_result_non_hit_score_calc,Function
DR1,003c54d8,hs_result_hit_ratio_get,Function
DR1,003c63dc,hs_result_phase_score_get,Function
DR1,003c6ea4,hs_result_phase_main,Function
DR1,003c615c,hs_result_ana_hit_ratio_calc,Function
DR1,003c56c8,hs_result_mtb_hit_ratio_get,Function
DR1,003ca008,hs_savedata_script_init,Function
DR1,003d17a4,hs_screen_time_disp,Function
DR1,003b8248,hs_fonthit_init,Function
DR1,003d2630,hs_screen_tansaku_concentration_end_check,Function
DR1,0043acb0,hs_trial_anagram_text_target_check,Function
DR1,0041ee60,hs_pb_backlog_draw,Function
